pid,artist_name,track_name
5,LMFAO,Shots
5,P!nk,Raise Your Glass
5,Neil Diamond,Sweet Caroline
5,Lady Gaga,Just Dance
5,Daft Punk,One More Time
5,Lady Gaga,Just Dance
5,LMFAO,Party Rock Anthem
5,Rihanna,We Found Love
5,Train,Marry Me
5,Chris Brown,Forever
5,Nicki Minaj,Starships
5,Will Smith,Miami
5,Michael Jackson,Billie Jean
5,Jason Mraz,Lucky
5,Colbie Caillat,I Do
5,Dave Matthews Band,You & Me
5,Miley Cyrus,We Can't Stop
5,Rascal Flatts,Summer Nights
5,Rascal Flatts,My Wish
5,Rascal Flatts,Bless The Broken Road
5,Taio Cruz,Dynamite
5,The Lumineers,Ho Hey
5,Flo Rida,Whistle
5,Flo Rida,Good Feeling
5,Florida Georgia Line,This Is How We Roll
5,Clean Bandit,Rather Be (feat. Jess Glynne)
5,Calvin Harris,Summer
5,Becky G,Shower
6,Queens of the Stone Age,No One Knows
6,The Cranberries,Zombie
6,Tame Impala,The Less I Know The Better
6,Sia,Chandelier
6,Sia,Elastic Heart
7,Childish Gambino,Redbone
7,LANY,13
7,The Paper Kites,Bloom - Bonus Track
7,Disclosure,Latch
7,Charlie Puth,Attention
8,The Kooks,She Moves In Her Own Way
8,Kings of Leon,Waste A Moment
8,Lord Huron,The Night We Met
8,alt-J,Left Hand Free
8,The Beatles,Hey Jude - Remastered 2015
8,The Beatles,I Want To Hold Your Hand - Remastered 2015
8,Gorillaz,On Melancholy Hill
8,Electric Light Orchestra,Mr. Blue Sky
8,Florence + The Machine,Dog Days Are Over
8,Death Cab for Cutie,Soul Meets Body
9,Willie Nelson,Highwayman
9,Willie Nelson,Highwayman
9,Travis Tritt,It's A Great Day To Be Alive
9,Cody Johnson,Diamond In My Pocket
9,Brooks & Dunn,Neon Moon
9,Josh Turner,Hometown Girl
10,Jeremih,Planez
10,Lupe Fiasco,The Show Goes On
10,Bryson Tiller,Don't
10,YG,Who Do You Love?
10,Timbaland,Say Something (Featuring Drake)
10,ScHoolboy Q,Studio
10,Big Sean,I Don't Fuck With You
10,A Boogie Wit da Hoodie,Drowning (feat. Kodak Black)
10,Travis Scott,goosebumps
10,Migos,Slippery (feat. Gucci Mane)
10,Rae Sremmurd,Come Get Her
10,Rae Sremmurd,No Type
10,PnB Rock,"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)"
10,Jeremih,oui
10,Meek Mill,Dreams and Nightmares
10,Rae Sremmurd,Throw Sum Mo
11,Erykah Badu,On & On
11,Lykke Li,Little Bit
11,Miguel,Adorn
11,Massive Attack,Protection
11,Erykah Badu,Bag Lady
11,The Verve,Bitter Sweet Symphony
11,Beach House,Master of None
11,Dido,White Flag
11,Erykah Badu,Window Seat
11,Crystal Castles,Untrust Us
11,Phantogram,Don't Move
11,Cults,Go Outside
11,ScHoolboy Q,Hands On The Wheel
12,Passenger,Let Her Go
12,Milky Chance,Stolen Dance
12,James Bay,Hold Back The River
12,Lost Frequencies,Are You With Me - Radio Edit
12,Wiz Khalifa,So High (feat. Ghost Loft)
12,Tom Jones,It's Not Unusual
12,Alessia Cara,Scars To Your Beautiful
13,Ruth B.,Lost Boy
13,Christina Perri,A Thousand Years
13,Ruth B.,Superficial Love
14,Alice In Chains,Man in the Box
14,Beck,Loser
14,blink-182,What's My Age Again?
14,blink-182,Adam's Song
14,blink-182,All The Small Things
14,Counting Crows,Mr. Jones
14,Counting Crows,A Long December
14,The Cranberries,Linger
14,Dave Matthews Band,So Much to Say
14,Fiona Apple,Criminal
14,Foo Fighters,Learn to Fly
14,The Goo Goo Dolls,Slide
14,The Goo Goo Dolls,Black Balloon
14,The Goo Goo Dolls,Iris
14,Guns N' Roses,Knockin' On Heaven's Door
14,Incubus,Drive
14,Incubus,Nice to Know You
14,Matchbox Twenty,3AM
14,Matchbox Twenty,Real World
14,Matchbox Twenty,Push
14,Mazzy Star,Fade Into You
14,Nine Inch Nails,Closer
14,Nirvana,Heart-Shaped Box
14,Nirvana,All Apologies
14,Nirvana,Smells Like Teen Spirit
14,Nirvana,Lithium
14,Nirvana,Come As You Are
14,No Doubt,Spiderwebs
14,No Doubt,Just A Girl
14,No Doubt,Don't Speak
14,Oasis,Wonderwall - Remastered
14,Oasis,Champagne Supernova - Remastered
14,The Offspring,Pretty Fly (For A White Guy)
14,Pearl Jam,Jeremy
14,R.E.M.,Losing My Religion
14,Red Hot Chili Peppers,Scar Tissue
14,Smash Mouth,All Star
14,Soundgarden,Black Hole Sun
14,Sublime,Santeria
14,Sublime,What I Got
14,Third Eye Blind,Semi-Charmed Life
14,Third Eye Blind,Jumper - 1998 Edit
14,Train,Meet Virginia
14,The Verve,Bitter Sweet Symphony
15,Gregory Alan Isakov,The Stable Song
15,Gregory Alan Isakov,Amsterdam
16,Sum 41,In Too Deep
16,Thundercat,Them Changes
16,Interpol,Slow Hands
16,Lorde,Green Light
16,Amy Winehouse,You Know I'm No Good
16,Frank Ocean,Ivy
16,Sufjan Stevens,To Be Alone With You
16,Weezer,Undone - The Sweater Song
16,Harry Styles,Sign of the Times
17,Aloe Blacc,Wake Me Up - Acoustic
17,John Legend,All of Me
17,Pharrell Williams,"Happy - From ""Despicable Me 2"""
17,Justin Timberlake,Mirrors
17,WALK THE MOON,Shut Up and Dance
17,Jess Glynne,Hold My Hand
17,Meghan Trainor,Lips Are Movin
17,Meghan Trainor,All About That Bass
17,Sia,Chandelier
17,Rihanna,We Found Love
17,George Ezra,Budapest
17,OneRepublic,Counting Stars
17,Andy Grammer,"Honey, I'm Good."
17,Adele,Rolling in the Deep
17,Bastille,Pompeii
17,Clean Bandit,Rather Be (feat. Jess Glynne)
17,Mumford & Sons,Believe
17,Bruno Mars,Treasure
17,Fifth Harmony,Sledgehammer
17,WALK THE MOON,Avalanche
17,WALK THE MOON,Work This Body
17,WALK THE MOON,Anna Sun
17,Two Door Cinema Club,Something Good Can Work
17,The Killers,Human
17,The Killers,Mr. Brightside
17,The Beatles,Twist And Shout - Remastered 2009
17,The All-American Rejects,Gives You Hell
18,Darius Rucker,Alright
18,Jason Mraz,I Won't Give Up
18,Kelly Rowland,Motivation
18,Kelly Rowland,Kisses Down Low
18,Tim McGraw,Where The Green Grass Grows
18,Miguel,Sure Thing
18,Rihanna,Love On The Brain
18,Beyoncé,Halo
18,Bryan Adams,(Everything I Do) I Do It For You
18,The Goo Goo Dolls,Iris
18,Savage Garden,Truly Madly Deeply
18,Machine Gun Kelly,Bad Things (with Camila Cabello)
18,Jeremih,Don't Tell 'Em
18,Jeremih,Birthday Sex
18,Ne-Yo,She Knows
18,Tech N9ne,Fragile
18,Kehlani,Gangsta
18,Ginuwine,Pony
18,Ed Sheeran,Shape of You
19,Bob Dylan,"Don't Think Twice, It's All Right"
19,Of Monsters and Men,Mountain Sound
19,The Velvet Underground,Pale Blue Eyes
19,Gregory Alan Isakov,The Stable Song
19,alt-J,Taro
19,Leonard Cohen,Suzanne
19,Bob Dylan,Girl from the North Country
21,Mazzy Star,Fade Into You
21,Amy Winehouse,Back To Black
21,Evanescence,My Immortal
21,Gotye,Somebody That I Used To Know
21,Savage Garden,To the Moon & Back
21,Selena,Dreaming Of You
21,Pearl Jam,Last Kiss
21,Johnny Cash,Hurt
21,Bruno Mars,When I Was Your Man
21,Heart,All I Wanna Do Is Make Love To You
22,6LACK,PRBLMS
22,Sam Smith,Too Good At Goodbyes
22,Dua Lipa,New Rules
22,Marshmello,Silence
22,Lauv,I Like Me Better
22,Charlie Puth,Attention
22,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals)
22,Macklemore,Glorious (feat. Skylar Grey)
22,P!nk,What About Us
22,Avicii,Without You (feat. Sandro Cavazza)
22,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)"
22,Rita Ora,Your Song
22,Russ,Cherry Hill
23,Slipknot,Before I Forget
23,Chevelle,The Red
23,Killswitch Engage,My Curse
23,Slipknot,Psychosocial
23,Slipknot,Duality
24,Twenty One Pilots,Ride
24,Twenty One Pilots,Heathens
24,Twenty One Pilots,Car Radio
25,Calvin Harris,Feel So Close - Radio Edit
25,Calvin Harris,Feel So Close - Radio Edit
25,Fifth Harmony,BO$$
25,Galantis,No Money
25,Disclosure,You & Me - Flume Remix
25,Gucci Mane,Both (feat. Drake)
26,James Bay,Hold Back The River
26,Angus & Julia Stone,Grizzly Bear
26,Angus & Julia Stone,Big Jet Plane
26,Leon Bridges,Coming Home
27,Logic,1-800-273-8255
27,Mumford & Sons,The Cave
27,Mumford & Sons,I Will Wait
27,Mumford & Sons,Little Lion Man
27,Mumford & Sons,Believe
27,Mumford & Sons,Awake My Soul
28,T.I.,Whatever You Like
28,Lupe Fiasco,The Show Goes On
28,Travis Scott,goosebumps
28,Luis Fonsi,Despacito - Remix
28,Kendrick Lamar,HUMBLE.
28,Future,Mask Off
28,Lil Wayne,A Milli
28,Lil Wayne,6 Foot 7 Foot
28,Eminem,Not Afraid
28,Lil Wayne,Right Above It
28,Kanye West,Stronger
28,Lil Wayne,Love Me
28,Kanye West,Father Stretch My Hands Pt. 1
28,Aloe Blacc,The Man
28,Dr. Dre,The Next Episode
28,Lil Wayne,Lollipop
28,Lil Uzi Vert,Erase Your Social
28,NAV,Myself
28,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder)
29,Lauv,I Like Me Better
29,Jonas Blue,Mama
29,Niall Horan,Slow Hands
29,Louis Tomlinson,Back to You (feat. Bebe Rexha & Digital Farm Animals)
29,Hailee Steinfeld,Most Girls
29,blackbear,do re mi
29,The Jackson 5,I Want You Back
29,Khalid,8TEEN
29,Demi Lovato,Sorry Not Sorry
29,Rita Ora,Your Song
29,Bryan Adams,When You're Gone
29,Bill Withers,Lean on Me
31,Robin Schulz,Sugar (feat. Francesco Yates)
31,Alessia Cara,Wild Things
31,The Chainsmokers,Roses
31,Hailee Steinfeld,Love Myself
31,Jess Glynne,Hold My Hand
31,Galantis,Peanut Butter Jelly
31,Justin Bieber,Sorry
31,Sigala,Easy Love
31,Zara Larsson,Lush Life
31,Kygo,Stole the Show
31,Years & Years,King
31,One Direction,Perfect
31,Mike Posner,I Took A Pill In Ibiza - Seeb Remix
31,Mike Posner,Cooler Than Me - Single Mix
31,Galantis,No Money
31,Meghan Trainor,Me Too
31,Calvin Harris,This Is What You Came For
31,MØ,Final Song
31,Sia,Cheap Thrills
32,Vance Joy,Mess Is Mine
32,George Ezra,Budapest
32,Vance Joy,Riptide
32,Incubus,Drive
32,Aloe Blacc,Wake Me Up - Acoustic
32,Passenger,Let Her Go
32,John Mayer,Your Body Is a Wonderland
32,James Blunt,Bonfire Heart
32,Birdy,Skinny Love
32,Norah Jones,Don't Know Why
32,Norah Jones,Come Away With Me
32,First Aid Kit,My Silver Lining
32,Jack Johnson,"Sitting, Waiting, Wishing"
32,Jack Johnson,Banana Pancakes
32,The Fray,You Found Me
32,Lorde,Royals
32,Lorde,Team
32,Hozier,Cherry Wine - Live
33,Stevie Wonder,You Are The Sunshine Of My Life
33,Modest Mouse,Float On
34,The Chainsmokers,Roses
34,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem)
34,Zara Larsson,Never Forget You
34,Rudimental,Waiting All Night (feat. Ella Eyre)
34,Phoenix,Lisztomania
34,MØ,Kamikaze
34,Alessia Cara,Wild Things
34,The Chainsmokers,Don't Let Me Down
34,Amy Winehouse,You Know I'm No Good
34,Jaymes Young,I'll Be Good
34,Two Door Cinema Club,Sun
34,Martin Solveig,Places
35,Becky G,Shower
35,Alesso,Heroes (we could be)
35,Zedd,I Want You To Know
35,Justin Bieber,What Do You Mean?
35,Justin Bieber,Sorry
35,The Chainsmokers,Roses
35,Zendaya,Something New
35,Owl City,Unbelievable
35,Hailee Steinfeld,Starving
35,The Chainsmokers,Closer
35,Troye Sivan,YOUTH
35,The Chainsmokers,Paris
35,Cheat Codes,No Promises (feat. Demi Lovato)
35,Gryffin,Feel Good (feat. Daya)
37,DJ Snake,Turn Down for What
37,Sia,Cheap Thrills
37,DJ Khaled,I'm On One
37,Yo Gotti,Down In the DM
37,Twenty One Pilots,Stressed Out
37,will.i.am,It’s My Birthday
37,Ja Rule,Always On Time
37,Meek Mill,R.I.C.O. (feat. Drake)
37,Ginuwine,Pony
37,Trey Songz,Na Na
37,Bryson Tiller,Exchange
37,Sia,Unstoppable
37,Nelly,The Fix (feat. Jeremih)
37,Rae Sremmurd,This Could Be Us
37,Snoop Dogg,Drop It Like It's Hot
37,Shaggy,Boombastic
38,Sean Kingston,Beautiful Girls
38,Sean Kingston,Fire Burning
38,Eminem,Love The Way You Lie
38,R. Kelly,Ignition - Remix
38,Bruno Mars,Grenade
38,Ginuwine,Pony
38,Chris Brown,With You
38,Jason Derulo,Whatcha Say
38,Zendaya,Replay
38,Ne-Yo,Closer
38,J. Cole,Work Out
38,Natasha Bedingfield,Unwritten
38,Fergie,Big Girls Don't Cry (Personal)
38,Leona Lewis,Bleeding Love
38,Rihanna,Umbrella
38,Timbaland,Apologize
38,Nelly Furtado,I'm Like A Bird
38,P!nk,Who Knew
38,Britney Spears,Toxic
38,Mariah Carey,Always Be My Baby
38,Nelly Furtado,Promiscuous
38,Gwen Stefani,The Sweet Escape
38,Kings of Leon,Use Somebody
38,Plain White T's,Hey There Delilah
38,Flo Rida,Wild Ones (feat. Sia)
38,Maroon 5,Payphone
38,Alicia Keys,Fallin'
38,Destiny's Child,"Bills, Bills, Bills"
38,Justin Timberlake,Rock Your Body
38,Boyz II Men,End Of The Road
38,The Goo Goo Dolls,Iris
38,Jason Mraz,I'm Yours
39,Luke Bryan,Country Girl (Shake It For Me)
39,Luke Bryan,Drunk On You
39,Luke Bryan,That's My Kind Of Night
39,Carrie Underwood,Good Girl
39,Carrie Underwood,Blown Away
39,Lee Brice,I Don't Dance
39,Carrie Underwood,Cowboy Casanova
39,Florida Georgia Line,Cruise
39,Florida Georgia Line,This Is How We Roll
39,Sam Hunt,House Party
39,Luke Bryan,Kick The Dust Up
39,Luke Bryan,"Huntin', Fishin' And Lovin' Every Day"
40,The Weeknd,Starboy
40,Kanye West,Stronger
40,Miley Cyrus,We Can't Stop
40,Martin Garrix,In the Name of Love
40,James Arthur,Say You Won't Let Go
40,MØ,Final Song
40,Andy Grammer,Fresh Eyes
40,The Jackson 5,I Want You Back
40,Frank Ocean,Thinkin Bout You
40,Beyoncé,Love On Top
40,Jonas Blue,Perfect Strangers
40,Shawn Mendes,Mercy
40,Ellie Goulding,"Still Falling For You - From ""Bridget Jones's Baby"""
40,Rihanna,Love On The Brain
40,Jeremih,oui
40,The Vamps,All Night
40,Daya,"Sit Still, Look Pretty"
40,Zara Larsson,Ain't My Fault
40,DJ Snake,Let Me Love You
40,Machine Gun Kelly,Bad Things (with Camila Cabello)
40,Tove Lo,Cool Girl
40,The Chainsmokers,Roses
40,Alessia Cara,Wild Things
40,Noah Cyrus,Make Me (Cry)
40,Ed Sheeran,Shape of You
40,Alicia Keys,If I Ain't Got You
41,Justin Bieber,Sorry
41,Sia,Chandelier
41,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)"
41,Maroon 5,Sugar
41,Sam Smith,I'm Not The Only One
41,Sam Smith,Stay With Me
41,Daryl Hall & John Oates,Rich Girl
41,Queen,Bohemian Rhapsody - Remastered 2011
41,Miley Cyrus,Party In The U.S.A.
41,Miley Cyrus,Wrecking Ball
41,Alicia Keys,If I Ain't Got You
41,Adele,Someone Like You
41,Neil Diamond,Sweet Caroline
41,Bastille,Pompeii
41,Jason Derulo,Want to Want Me
41,Marvin Gaye,Ain't No Mountain High Enough
41,Third Eye Blind,Semi-Charmed Life
41,One Direction,What Makes You Beautiful
41,Chris Stapleton,Tennessee Whiskey
41,Chris Stapleton,Parachute
41,Chris Stapleton,Fire Away
41,Chris Brown,With You
41,Backstreet Boys,I Want It That Way
41,Mariah Carey,Always Be My Baby
41,R. Kelly,I Believe I Can Fly
41,Mariah Carey,Fantasy
41,Backstreet Boys,As Long as You Love Me
41,*NSYNC,This I Promise You
41,*NSYNC,It's Gonna Be Me
41,*NSYNC,Gone
41,*NSYNC,Thinking Of You (I Drive Myself Crazy) - Remix
41,Backstreet Boys,Incomplete
41,Backstreet Boys,Shape of My Heart
41,Avril Lavigne,I'm with You
41,Bruno Mars,When I Was Your Man
41,Van Morrison,Brown Eyed Girl
41,Justin Bieber,Love Yourself
41,Sam Hunt,Make You Miss Me
41,Rascal Flatts,What Hurts The Most
41,Keith Urban,Blue Ain't Your Color
41,Keith Urban,Somebody Like You
41,Brett Eldredge,Wanna Be That Song
41,Jason Aldean,Big Green Tractor
41,Chris Young,I'm Comin' Over
41,Chris Young,Who I Am With You
41,Chris Young,Tomorrow
41,Chris Young,Gettin' You Home
41,Brooks & Dunn,Neon Moon
41,Brooks & Dunn,Boot Scootin' Boogie
41,Brooks & Dunn,Brand New Man
41,Little Big Town,Better Man
41,Destiny's Child,Say My Name
41,Zac Brown Band,Loving You Easy
42,Florida Georgia Line,Cruise
42,Brett Eldredge,Don't Ya
42,Chris Young,You
42,Josh Turner,Why Don't We Just Dance
42,Josh Turner,Time Is Love
42,Little Big Town,Day Drinking
42,Luke Bryan,Play It Again
42,Luke Bryan,Drunk On You
42,Sam Hunt,House Party
42,Thomas Rhett,Make Me Wanna
42,Andy Grammer,"Honey, I'm Good."
42,Ella Henderson,Ghost
42,Hozier,Someone New
42,Zac Brown Band,Toes
42,Zendaya,Replay
42,Nicki Minaj,Starships
42,Miley Cyrus,Wrecking Ball
42,Miley Cyrus,We Can't Stop
42,Miley Cyrus,Party In The U.S.A.
42,Chris Young,I'm Comin' Over
42,Zac Brown Band,Loving You Easy
42,Zac Brown Band,Homegrown
42,Jason Mraz,I Won't Give Up
42,Fetty Wap,Trap Queen
42,WALK THE MOON,Shut Up and Dance
42,Jason Derulo,Want to Want Me
42,Ed Sheeran,Photograph
42,Maroon 5,Sugar
42,Tove Lo,Talking Body
42,Macklemore & Ryan Lewis,Wing$
42,Justin Bieber,Sorry
42,Justin Bieber,Love Yourself
42,Charlie Puth,One Call Away
42,Lukas Graham,7 Years
42,Ruth B.,Lost Boy
42,The Chainsmokers,Closer
42,Yusuf / Cat Stevens,"If You Want To Sing Out, Sing Out"
42,Jessie J,Masterpiece
42,Martin Garrix,In the Name of Love
42,The Chainsmokers,Don't Let Me Down
42,The Lumineers,Sleep On The Floor
42,Niall Horan,This Town
42,Ed Sheeran,Shape of You
42,Sam Hunt,Body Like A Back Road
42,X Ambassadors,Unsteady
42,The Chainsmokers,Something Just Like This
43,Blake Shelton,Boys 'Round Here (feat. Pistol Annies & Friends)
43,Zac Brown Band,Chicken Fried
43,Brantley Gilbert,Kick It In The Sticks
43,Florida Georgia Line,Round Here
44,Carrie Underwood,Blown Away
44,Ariana Grande,One Last Time
44,Miranda Lambert,Mama's Broken Heart
44,Sia,Chandelier
44,Shania Twain,Man! I Feel Like A Woman!
44,Carrie Underwood,Before He Cheats
44,Nick Jonas,Chains
45,The All-American Rejects,Dirty Little Secret
45,The All-American Rejects,Move Along
45,Gwen Stefani,Hollaback Girl
45,Avril Lavigne,Sk8er Boi
45,Jimmy Eat World,The Middle
45,Good Charlotte,The Anthem
45,Sum 41,In Too Deep
45,The All-American Rejects,It Ends Tonight
45,The Fray,Over My Head (Cable Car)
45,Third Eye Blind,Semi-Charmed Life
45,Green Day,Basket Case
45,Avril Lavigne,Complicated
45,The Killers,Somebody Told Me
45,Weezer,Island In The Sun
45,The Goo Goo Dolls,Slide
45,Lifehouse,Hanging By A Moment
45,Hoobastank,The Reason
45,Weezer,Say It Ain't So
45,Lifehouse,You And Me
45,Snow Patrol,Chasing Cars
45,The Fray,You Found Me
45,Matchbox Twenty,Push
45,The Script,Breakeven
45,James Blunt,You're Beautiful
45,Coldplay,The Scientist
45,The Killers,Human
45,Lynyrd Skynyrd,Free Bird
45,Lynyrd Skynyrd,Sweet Home Alabama
45,Boston,More Than a Feeling
45,Foreigner,Juke Box Hero
45,Van Morrison,Brown Eyed Girl
45,Queen,Bohemian Rhapsody - Remastered 2011
45,Nirvana,Come As You Are
45,Neil Diamond,Sweet Caroline
45,Guns N' Roses,Sweet Child O' Mine
45,Guns N' Roses,Paradise City
45,Aerosmith,Dream On
45,Don McLean,American Pie
45,Third Eye Blind,Jumper - 1998 Edit
45,Matchbox Twenty,Unwell
45,The Script,For the First Time
45,blink-182,All The Small Things
45,System Of A Down,Chop Suey!
45,Papa Roach,Last Resort
45,Muse,Uprising
45,Linkin Park,Numb
45,Nirvana,Rape Me
45,Kings of Leon,Use Somebody
45,System Of A Down,Toxicity
45,Johnny Cash,Hurt
47,Michael Jackson,Billie Jean
48,Jason Aldean,Burnin' It Down
48,Jason Aldean,Dirt Road Anthem
48,Blake Shelton,Boys 'Round Here (feat. Pistol Annies & Friends)
48,Luke Bryan,Play It Again
48,Luke Bryan,That's My Kind Of Night
48,Luke Bryan,Drunk On You
48,Luke Bryan,Country Girl (Shake It For Me)
48,Florida Georgia Line,This Is How We Roll
48,Florida Georgia Line,Cruise
48,Luke Bryan,Kiss Tomorrow Goodbye
48,Keith Urban,Blue Ain't Your Color
49,Kirk Franklin,I Smile
50,Fetty Wap,Trap Queen
50,Maroon 5,Sugar
50,Nick Jonas,Chains
50,Iggy Azalea,Fancy
50,Kesha,TiK ToK
50,Rihanna,Don't Stop The Music
50,Pharrell Williams,"Happy - From ""Despicable Me 2"""
50,Ariana Grande,One Last Time
50,Sam Hunt,Take Your Time
50,Zac Brown Band,Homegrown
50,Luke Bryan,Play It Again
50,Brantley Gilbert,Country Must Be Country Wide
50,Zac Brown Band,Knee Deep (feat. Jimmy Buffett)
50,Luke Bryan,Country Girl (Shake It For Me)
50,Luke Bryan,That's My Kind Of Night
50,Luke Bryan,Play It Again
50,Luke Bryan,Drunk On You
51,Imagine Dragons,Radioactive
51,Christina Perri,Jar of Hearts
51,Christina Perri,Jar of Hearts
51,Christina Perri,A Thousand Years
51,Miley Cyrus,Wrecking Ball
51,Miley Cyrus,Wrecking Ball
51,Miley Cyrus,Wrecking Ball
51,Clean Bandit,Rather Be (feat. Jess Glynne)
51,Rihanna,We Found Love
51,Imagine Dragons,Demons
51,Jason Mraz,I Won't Give Up
51,Christina Perri,arms
51,Guns N' Roses,November Rain
51,Zara Larsson,Never Forget You
51,Shawn Mendes,Mercy
52,Bing Crosby,Mele Kalikimaka - Single Version
52,Bing Crosby,It's Beginning To Look A Lot Like Christmas
52,Bing Crosby,White Christmas
52,Nat King Cole,The Christmas Song (Merry Christmas To You)
52,Ella Fitzgerald,I've Got My Love To Keep Me Warm
52,Wham!,Last Christmas
52,Mariah Carey,All I Want for Christmas Is You
52,The Jackson 5,Santa Claus Is Coming To Town
53,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
53,Fabolous,You Be Killin Em
53,Migos,Bad and Boujee (feat. Lil Uzi Vert)
53,Kevin Gates,Really Really
53,Big Sean,Bounce Back
53,Travis Scott,goosebumps
53,YG,My Nigga
53,Jeremih,Down On Me
53,Post Malone,Congratulations
53,LMFAO,Shots
53,50 Cent,In Da Club
53,Ginuwine,Pony
53,Ying Yang Twins,Salt Shaker
53,Eminem,The Real Slim Shady
53,Nelly,The Fix (feat. Jeremih)
53,DMX,Party Up
53,The Game,How We Do
53,Fat Joe,Make It Rain
53,Eve,Let Me Blow Ya Mind
53,Akon,Right Now (Na Na Na)
53,Nelly,Country Grammar (Hot Shit)
53,Dr. Dre,Still D.R.E.
53,N.W.A.,Express Yourself
53,N.W.A.,Straight Outta Compton
53,Skrillex,Purple Lamborghini (with Rick Ross)
53,Rick Ross,Hustlin'
53,DMX,Where The Hood At
53,Dr. Dre,The Next Episode
53,Tech N9ne,Caribou Lou
53,50 Cent,P.I.M.P.
53,N.W.A.,Fuck Tha Police
53,50 Cent,If I Can't
53,2 Chainz,We Own It (Fast & Furious)
53,Akon,Don't Matter
53,Kendrick Lamar,HUMBLE.
53,French Montana,Unforgettable
55,Jason Aldean,Dirt Road Anthem
55,Jason Aldean,Burnin' It Down
55,Jason Aldean,She's Country
55,Jason Aldean,Big Green Tractor
55,Zac Brown Band,Knee Deep (feat. Jimmy Buffett)
55,Zac Brown Band,Chicken Fried
55,Zac Brown Band,Free
55,Chris Stapleton,Tennessee Whiskey
55,Miranda Lambert,Gunpowder & Lead
55,Miranda Lambert,The House That Built Me
55,Carrie Underwood,Before He Cheats
55,Carrie Underwood,Blown Away
55,Carrie Underwood,"Jesus, Take the Wheel"
55,Carrie Underwood,Cowboy Casanova
55,Carrie Underwood,All-American Girl
55,Luke Bryan,Drunk On You
55,Luke Bryan,Country Girl (Shake It For Me)
55,Kenny Chesney,American Kids
55,Tim McGraw,Highway Don't Care
55,Tim McGraw,Humble And Kind
55,Tim McGraw,Live Like You Were Dying
55,Tim McGraw,Something Like That
55,Tim McGraw,Where The Green Grass Grows
55,Brad Paisley,She's Everything
55,Eric Church,Springsteen
55,Eric Church,Talladega
55,Eric Church,Like A Wrecking Ball
55,Florida Georgia Line,This Is How We Roll
55,Florida Georgia Line,Anything Goes
55,Florida Georgia Line,Cruise
55,Florida Georgia Line,Round Here
55,Sam Hunt,Break Up In A Small Town
55,Thomas Rhett,Die A Happy Man
55,Billy Currington,Don't It
55,Billy Currington,We Are Tonight
55,Billy Currington,Good Directions
55,Billy Currington,People Are Crazy
55,Billy Currington,Let Me Down Easy
55,Billy Currington,Pretty Good At Drinkin' Beer
55,Rascal Flatts,I Like The Sound Of That
55,Rascal Flatts,Bless The Broken Road
